4	1
7	938
8	694
9	180
10	3263
11	7190
12	2061
13	3203
14	4116
15	4872
16	6467
17	7399
18	8818
19	10670
20	30291
21	14522
22	16212
23	18915
24	25213
25	24764
26	28145
27	30762
28	33945
29	36845
30	38463
31	42391
32	48664
33	48914
34	55048
35	54549
36	61057
37	67183
38	64615
39	64371
40	67757
41	71834
42	73371
43	74896
44	78717
45	80369
46	82193
47	86439
48	89963
49	91028
50	95337
51	97259
52	105368
53	130447
54	107594
55	106645
56	108674
57	119258
58	113394
59	117142
60	120344
61	119538
62	125297
63	125766
64	124467
65	127694
66	136435
67	128879
68	134941
69	139029
70	135227
71	135301
72	139376
73	144021
74	144107
75	139711
76	173563
77	143326
78	144767
79	157629
80	152856
81	149882
82	144417
83	139591
84	158433
85	147091
86	140497
87	143046
88	150478
89	141753
90	145901
91	149605
92	139729
93	143025
94	146571
95	150826
96	148090
97	158436
98	158378
99	156953
100	177497
101	146324
102	157106
103	162544
104	147539
105	156907
106	139689
107	137532
108	135789
109	153300
110	140325
111	158538
112	151096
113	141802
114	139099
115	137109
116	139532
117	137908
118	137070
119	131898
120	151776
121	147601
122	150836
123	134502
124	147475
125	147787
126	136015
127	159992
128	147059
129	162509
130	169696
131	165719
132	189185
133	184192
134	202242
135	243482
136	538165
137	373816
138	328376
139	346826
140	1840929
